eid,9-s2.0-35547139400,affiliation,Michigan State University,affiliationCity,East Lansing,affiliationCountry,United States 
eid,9-s2.0-35803250400,affiliation,Elliott School of International Affairs,affiliationCity,"Washington, D.C.",affiliationCountry,United States 
eid,9-s2.0-35878383100,affiliation,Indiana University Northwest,affiliationCity,Gary,affiliationCountry,United States 
eid,9-s2.0-35984185600,affiliation,Princeton University,affiliationCity,Princeton,affiliationCountry,United States 
eid,9-s2.0-36440801300,affiliation,Princeton University,affiliationCity,Princeton,affiliationCountry,United States 
eid,9-s2.0-36613373800,affiliation,Rowan University,affiliationCity,Glassboro,affiliationCountry,United States 
eid,9-s2.0-36660709000,affiliation,University of Wisconsin-Madison,affiliationCity,Madison,affiliationCountry,United States 
eid,9-s2.0-36941456700,affiliation,Rutba House,affiliationCity,Durham,affiliationCountry,United States 
eid,9-s2.0-37011729300,affiliation,Rowan University,affiliationCity,Glassboro,affiliationCountry,United States 
eid,9-s2.0-37083854200,affiliation,Pädagogische Hochschule Salzburg,affiliationCity,Salzburg,affiliationCountry,Austria 
eid,9-s2.0-39262785700,affiliation,Catholic University of America,affiliationCity,"Washington, D.C.",affiliationCountry,United States 
eid,9-s2.0-39763792100,affiliation,University of Florida,affiliationCity,Gainesville,affiliationCountry,United States 
eid,9-s2.0-50462284700,affiliation,Duke University,affiliationCity,Durham,affiliationCountry,United States 
eid,9-s2.0-54584211500,affiliation,Universitat Salzburg,affiliationCity,Salzburg,affiliationCountry,Austria 
eid,9-s2.0-55212065900,affiliation,Centre for Policy Research India,affiliationCity,New Delhi,affiliationCountry,India 
eid,9-s2.0-55258236000,affiliation,"University of California, Santa Barbara",affiliationCity,Santa Barbara,affiliationCountry,United States 
eid,9-s2.0-55375880400,affiliation,DePauw University,affiliationCity,Greencastle,affiliationCountry,United States 
eid,9-s2.0-55495919500,affiliation,Arizona State University,affiliationCity,Tempe,affiliationCountry,United States 
eid,9-s2.0-55629533200,affiliation,Darul Qasim Institute,affiliationCity, null,affiliationCountry,United States 
eid,9-s2.0-55664093000,affiliation,Virginia Polytechnic Institute and State University,affiliationCity,Blacksburg,affiliationCountry,United States 
eid,9-s2.0-55747864000,affiliation,Research Institute,affiliationCity,Abu Dhabi,affiliationCountry,United Arab Emirates 
eid,9-s2.0-55851944445,affiliation,Northern Illinois University,affiliationCity,DeKalb,affiliationCountry,United States 
eid,9-s2.0-55981127100,affiliation,The University of North Carolina Wilmington,affiliationCity,Wilmington,affiliationCountry,United States 
eid,9-s2.0-55993943200,affiliation,Cornell University,affiliationCity,Ithaca,affiliationCountry,United States 
eid,9-s2.0-56091284000,affiliation,University of Calgary,affiliationCity,Calgary,affiliationCountry,Canada 
