9-s2.0-14627321700,University Hospitals Case Medical Center,Cleveland,United States 
9-s2.0-14719172500,University of Texas at Arlington,Arlington,United States 
9-s2.0-14820014600,United States Environmental Protection Agency,"Washington, D.C.",United States 
9-s2.0-14821102600,Louisiana State University,Baton Rouge,United States 
9-s2.0-14822758100,Purdue University,West Lafayette,United States 
9-s2.0-14825017200,Guangdong General Hospital,Guangzhou,China 
9-s2.0-14827670900,Lawrence Berkeley National Laboratory,Berkeley,United States 
9-s2.0-14829036600,Pohang University of Science and Technology,Pohang,South Korea 
9-s2.0-14829771600,Nanjing University,Nanjing,China 
9-s2.0-14830707100,Dalian University of Technology,Dalian,China 
9-s2.0-14832924500,NOHMS Technologies,Rochester,United States 
9-s2.0-14833666800,Singapore Management University,Singapore City,Singapore 
9-s2.0-15037039300,Peking University,Beijing,China 
9-s2.0-15040253200,Shanghai Jiao Tong University,Shanghai,China 
9-s2.0-15043872200,University of Melbourne,Parkville,Australia 
9-s2.0-15045590000,Cornell University,Ithaca,United States 
9-s2.0-15048347900,Crosslight Software Inc.,Shanghai,China 
9-s2.0-15050053300,"Ensaras, Inc.",Champaign,United States 
9-s2.0-15050377600,California Institute of Technology,Pasadena,United States 
9-s2.0-15056501900,University of Florida,Gainesville,United States 
9-s2.0-15059324100,Technische Universität Darmstadt,Darmstadt,Germany 
9-s2.0-15061804400,University of Western Australia,Perth,Australia 
9-s2.0-15061841400,"Indraprastha Institute of Information Technology, Delhi",New Delhi,India 
9-s2.0-15069950000,University of Notre Dame,Notre Dame,United States 
9-s2.0-15070969900,Pacific Northwest National Laboratory,Richland,United States 
9-s2.0-15073373500,Central South University,Changsha,China 
9-s2.0-15080540300,Pennsylvania State University,University Park,United States 
9-s2.0-15122266600,Medical University of Warsaw,Warsaw,Poland 
9-s2.0-15124334200,Florida Institute of Technology,Melbourne,United States 
9-s2.0-15127938900,Senckenberg Forschungsinstitut und Naturmuseum,Frankfurt am Main,Germany 
9-s2.0-15132164400,University of Notre Dame,Notre Dame,United States 
9-s2.0-15136533800,University of Wisconsin-Madison,Madison,United States 
9-s2.0-15136561900,Università degli Studi del Molise,Campobasso,Italy 
9-s2.0-15137649000,The University of New Mexico,Albuquerque,United States 
9-s2.0-15520654900,Wright-Patterson AFB,Dayton,United States 
9-s2.0-15521383500,University of Notre Dame,Notre Dame,United States 
9-s2.0-15622840200,University of Notre Dame,Notre Dame,United States 
9-s2.0-15622873800,University of Canterbury,Christchurch,New Zealand 
9-s2.0-15623425400,University of Illinois at Urbana-Champaign,Urbana,United States 
9-s2.0-15726474000,Universität Stuttgart,Stuttgart,Germany 
9-s2.0-15726654400,Sveriges lantbruksuniversitet,Uppsala,Sweden 
9-s2.0-15729739800,Rice University,Houston,United States 
9-s2.0-15729867300,University of Florida,Gainesville,United States 
9-s2.0-15754641000,"Northeastern University, China",Shenyang,China 
9-s2.0-15761044100,Oak Ridge National Laboratory,Oak Ridge,United States 
9-s2.0-15765733200,Harvard Medical School,Boston,United States 
9-s2.0-15770395100,Institute of High Energy Physics Chinese Academy of Science,Beijing,China 
9-s2.0-15822506800,Korea Institute Of Ocean Science &amp; Technology,"Sangnok-gu, Ansan-si",South Korea 
9-s2.0-15822801300,Université Laval,Quebec,Canada 
9-s2.0-15831207000,National Chiao Tung University Taiwan,Hsinchu,Taiwan 
9-s2.0-15835356100,University of Notre Dame,Notre Dame,United States 
9-s2.0-15835503600,Fermi National Accelerator Laboratory,Batavia,United States 
9-s2.0-15841868400,University of Notre Dame,Notre Dame,United States 
9-s2.0-15842107700,Lunds Universitet,Lund,Sweden 
9-s2.0-15925318900,University of Melbourne,Parkville,Australia 
9-s2.0-15926508900,University of Notre Dame,Notre Dame,United States 
9-s2.0-16022931400,University of Massachusetts Amherst,Amherst MA,United States 
9-s2.0-16026000400,Harbin Institute of Technology,Harbin,China 
9-s2.0-16026283200,Korea Research Institute of Bioscience and Biotechnology,Yusong,South Korea 
9-s2.0-16028471000,Clemson University,Clemson,United States 
9-s2.0-16029658700,Johannes Kepler Universitat Linz,Linz,Austria 
9-s2.0-16031594600,University of Texas at Dallas,Richardson,United States 
9-s2.0-16038848700,Harbin Institute of Technology,Harbin,China 
9-s2.0-16040970600,Sungkyunkwan University,Jongno-gu,South Korea 
9-s2.0-16041640000,University of Abomey-Calavi,Cotonou,Benin 
9-s2.0-16042117000,Johns Hopkins University,Baltimore,United States 
9-s2.0-16052069400,Seoul National University,Seoul,South Korea 
9-s2.0-16135615600,Penn State Health Milton S. Hershey Medical Center,Hershey,United States 
9-s2.0-16150599500,Purdue University,West Lafayette,United States 
9-s2.0-16178743600,Technical University of Munich,Munich,Germany 
9-s2.0-16197143700,National High Magnetic Field Laboratory,Tallahassee,United States 
9-s2.0-16197567700,"University of California, Santa Barbara",Santa Barbara,United States 
9-s2.0-16197730400,University of Illinois at Urbana-Champaign,Urbana,United States 
9-s2.0-16201026200,Wireless Information Network Laboratory,North Brunswick,United States 
9-s2.0-16202062500,The University of Texas at Austin,Austin,United States 
9-s2.0-16202487600,"University of California, Los Angeles",Los Angeles,United States 
9-s2.0-16207104500,Universität Heidelberg,Heidelberg,Germany 
9-s2.0-16235028300,USDA Forest Service Northeastern Research Station Morgantown,Morgantown,United States 
9-s2.0-16235127500,Auburn University,Auburn,United States 
